"","SCHOOL","PROGRAM","DEGREE","ONLINE","ONCAMPUS","COUNTRY","STATE","CITY","DEPARTMENT","URL","skills"
"463","Mykolas Romeris University","Business Informatics","M",FALSE,TRUE,"LT","","","","https://stdb.mruni.eu/studiju_programos_aprasas.php?id=2481&l=en","communication, competitive, experience, independent, knowledge management, management, organization, planning, presentation, problem solving, reliable, research, social, training"
"464","Sangmyung University","Big Data Science","B",FALSE,TRUE,"KR","","Seoul","","https://bigdata.smu.ac.kr",""
"465","BAICR","Data Science","M",FALSE,TRUE,"IT","","","","http://www.baicr.it/palinsesto-geografico/data-science",""
"466","Polytechnic University Of Turin","Big Data Engineering","M",FALSE,TRUE,"IT","","","","https://didattica.polito.it/portal/pls/portal/sviluppo.master.html?cds=73&sdu=32&a_acc=2013&p=presentazione&l=en",""
"467","University Of Milan-Bicocca","Business Intelligence & Decision Support Systems","M",FALSE,TRUE,"IT","","","","http://www.bimasterbicocca.it/index.php?lang=en","management, social"
"468","University Of Pisa","Business Informatics","M",FALSE,TRUE,"IT","","","","http://www.unipi.it/index.php/ects/ects?ects_id=WBI-LM","decision making, management, organization, planning, research, social"
"469","Ben-Gurion University Of The Negev","Data Mining And Business Intelligence","M",FALSE,TRUE,"IL","","Beersheba","","http://in.bgu.ac.il/en/engn/ise/Pages/Data_Mining_BI_En.aspx","confident, presentation, research"
"470","Dublin City University","Data Analytics","M",FALSE,TRUE,"IE","","Dublin","","http://www.dcu.ie/prospective/deginfo.php?classname=MCM","communication, experience, friendly, leadership, management, presentation, research, social, training"
"471","Dublin Institute Of Technology","Data Analytics","M",FALSE,TRUE,"IE","","Dublin","","http://www.dit.ie/postgrad/programmes/dt228adt228bmscincomputingdataanalytics/",""
"472","Institute Of Technology Blanchardstown","Business Intelligence & Data Mining","M",FALSE,TRUE,"IE","","Blanchardstown","","http://www.itb.ie/StudyatITB/bn518BID.html","experience, independent, management, research, social"
"473","Irish Management Institute","Data Business","M",FALSE,TRUE,"IE","","","","http://www.imi.ie/news-and-events/we-mean-business-with-data-business/","competitive, emotional intelligence, experience, leadership, management, negotiation, performance management, research, social"
"474","National College Of Ireland","Data Analytics","C",FALSE,TRUE,"IE","","","","http://www.ncirl.ie/Courses/Course-Details/course/Higher-Diploma-in-Science-in-Web-Technologies-HDSWTECH1","management, research, social"
"475","National University Of Ireland, Galway","Information Systems Management","M",FALSE,TRUE,"IE","","","","http://www.nuigalway.ie/courses/taught-postgraduate-courses/information-systems-management.html","competitive, experience, facilitating, inspiring, management, organization, presentation, research, social"
"476","University College Cork","Data Science and Analytics","M",FALSE,TRUE,"IE","","","","http://www.ucc.ie/en/ckr49/","experience, independent, management, research, social"
"477","University College Dublin","Business Analytics","M",FALSE,TRUE,"IE","","","Business","http://www.smurfitschool.ie/businessanalytics/","experience, management, research, social"
"478","University College Dublin","Business Analytics","B",FALSE,TRUE,"IE","","","Business","https://myucd.ucd.ie/course.do?courseID=139","management, planning, problem solving, research, social, training"
"479","Chinese University of Hong Kong","Data Science and Business Statistics","M",FALSE,TRUE,"HK","","","","http://www.sta.cuhk.edu.hk/mscdbs/DBSdefault.asp",""
"480","Hong Kong University of Science & Technology","Risk Management and Business Intelligence","B",FALSE,TRUE,"HK","","","","http://www.rmbi.ust.hk/",""
